sample_accession	individual_id	breed	sex	run_accession	library_layout	library_strategy	library_source	study_accession	scientific_name	tax_id	instrument_platform	instrument_model
SAMN08873036	Golden Retriever 4	Golden Retriever	F	SRR7120163	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873139	Labrador Retriever 1	Labrador Retriever	F	SRR7120173	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873142	Labrador Retriever 4	Labrador Retriever	F	SRR7120175	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873145	Labrador Retriever 7	Labrador Retriever	M	SRR7120178	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873219	Portuguese Water Dog 1	Portuguese Water Dog	F	SRR7120193	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873221	Portuguese Water Dog 3	Portuguese Water Dog	F	SRR7120195	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873222	Portuguese Water Dog 4	Portuguese Water Dog	F	SRR7120196	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873227	Portuguese Water Dog 9	Portuguese Water Dog	M	SRR7120201	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873228	Portuguese Water Dog 10	Portuguese Water Dog	M	SRR7120202	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873245	Rottweiler 3	Rottweiler	M	SRR7120206	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873246	Rottweiler 4	Rottweiler	F	SRR7120207	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873247	Rottweiler 5	Rottweiler	F	SRR7120208	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873251	Rottweiler 9	Rottweiler	F	SRR7120209	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873428	West Highland White Terrier 7	West Highland White Terrier	F	SRR7120233	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873429	West Highland White Terrier 8	West Highland White Terrier	F	SRR7120234	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873460	Yorkshire Terrier 14	Yorkshire Terrier	M	SRR7120248	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873465	Yorkshire Terrier 19	Yorkshire Terrier	F	SRR7120253	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873466	Yorkshire Terrier 20	Yorkshire Terrier	M	SRR7120254	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873505	Yorkshire Terrier 59	Yorkshire Terrier	M	SRR7120293	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMN08873506	Yorkshire Terrier 60	Yorkshire Terrier	M	SRR7120294	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
